ID,news,headline,method,answer
TRAIN_1034,"(Apr 24, 2012 3:29 AM CDT) A British mental health charity has received a flood of donations following the death of a runner in the final stretch of the London Marathon on Sunday. Claire Squires, a 30-year-old hairdresser, was running to raise money for the Samaritans, a group that offers emotional support to people in distress. Donations in her name from around the world have topped $400,000 as news of her death spreads, reports the Telegraph. Squires, who had run the marathon before, was less than a mile from the finish line of the 26.2-mile race when she collapsed, becoming the tenth person to die in the race's 31-year history. Friends say she was running in memory of her older brother, who died from an overdose 10 years ago at the age of 25. We desperately wish that it was not under these circumstances but we have been overwhelmed by the response from people donating in Claireâ€™s memory, said the charity's chief executive, who is putting the donations in a tribute fund.",Marathon Runner Raises $____K After Death,"Paraphrase(400,000,k)",400
TRAIN_1035,"(Feb 16, 2019 5:30 AM) Chicago police released without charges two Nigerian brothers arrested on suspicion of assaulting Empire actor Jussie Smollett, saying they have new evidence to investigate as a result of questioning them, per a brief statement Friday by Chicago police rep Anthony Guglielmi. He gave no details of the new evidence, per the AP. Smollett, who's black and gay, has said two masked men shouting racial and anti-gay slurs beat him and looped a rope around his neck early on Jan. 29 before running away. He said they also poured some kind of chemical on him. Smollett, 36, said he was out getting food at a Subway sandwich shop in downtown Chicago when the attack happened. A spokeswoman for Smollett said she had no comment on the release of the two men Friday. The two men, identified only as Nigerian brothers, were picked up at Chicago's O'Hare Airport on Wednesday on their return from Nigeria after police learned at least one worked on Empire, Guglielmi said.",____ Men Arrested in Jussie Smollett Case Released,Trans(two),2
TRAIN_1036,"(Aug 30, 2011 4:54 AM CDT) Yoshihiko Noda is Japan's new prime minister and he has some tough challenges ahead of him, not least of which is unifying his own bickering party. Noda, formerly the country's finance minister, was elected as leader today by the country's parliament, winning majorities both in the lower house, controlled by his Democratic Party of Japan, and in the opposition-held upper house, AP reports. Noda's predecessor, Naoto Kan, stepped down after 15 months following widespread criticism of his handling of the aftermath of the tsunami earlier this year. Noda is a moderate voice in the ruling party, an analyst at Council for Foreign Relations says. He has a steady temperament and a reputation for fairness in a party where loyalties have been severely tested of late. Noda is the country's sixth prime minister in 5 years, and ratings agency Moody's cited the instability at the top as one reason why it downgraded Japan's rating earlier this month.",Noda Gain: Japan Gets ____th Leader in 5 Years,Trans(sixth),6
TRAIN_1037,"(May 13, 2015 12:21 PM CDT) When Catherine McCann started pulling on her ear at the Lutheran Home in September 2012, it seemed apparent something was wrong with the elderly Alzheimer's patient, who was unable to speak or care for herself. What was ailing the nonagenarian turned out to be more horrifying than her family could have imagined, and now a judge has ordered the home to pay them $250,000 for wrongful death and for violating the Illinois Nursing Home Care Act, the Daily Herald reports. After a maggot was spotted moving in McCann's ear on Sept. 16, 2012, by a nursing home worker, she was whisked to a local hospital. There, her daughter watched as the larvae of flies crawled out of her mother's left ear as 57 maggots were removed, Chicago Tribune originally reported; it's thought that a fly landed in her ear and laid the eggs. McCann had been diagnosed with wax buildup a little over a week before the maggots were discovered and was prescribed eardrops, CBS News noted; Lutheran says she had received drops the night before her hospital visit. How can you put drops of medicine in an ear that has 57 maggots? the family's lawyer asked CBS in a November 2012 interview. After the maggots were taken out, the Herald notes, McCann lost her appetite, started humming, and died a few months later at another nursing home her family had moved her to. The maggot infestation in her left ear created this geriatric cascade that led to her death, their attorney notes to the Herald. The nursing home's administrator told the Tribune in 2012 what happened to McCann was simply a freak occurrence that has nothing to do with the care she was provided. (An Indian man reportedly had 50 maggots taken out of his nose and sinuses.)",$____K Awarded to Family of Senior Mired in Ear Maggots,"Paraphrase(250,000,K)",250
TRAIN_1038,"(Dec 28, 2013 9:16 AM) Rather than another best of 2013 list, Grantland puts together a list of this year's overlooked and/or underappreciated televisionâ€”shows you should have watched, but probably didn't. Click through the gallery for a sampling, or check out the complete list here.","8 Shows You Should Have Watched in ____, but Didn't",Copy(2013),2013
TRAIN_1039,"(Jan 29, 2012 6:05 AM) Occupy Oakland yesterday had its stormiest protests since November, with about 300 people were arrested in a chaotic day, reports the AP. About 2,000 demonstrators gathered at one point, clashing with police throughout the day. Some protesters hurled rocks, bottles, and other objects, while City Hall was broken into and an American flag was burned. Police responded with tear gas and flash grenades, in addition to the arrests. Protesters marched on an empty convention center in the afternoonâ€”intending to take it over, according to police. Along the way, some demonstrators tore down perimeter fencing, destroyed construction equipment, and threw objects at police. The police were able to break up the group by 4pm, but many then headed downtown, breaking into a YMCA building and City Hall, which is when most of the arrests occurred. City Mayor Jean Quan called on the Occupiers to stop using Oakland as its playground.",____ Arrested in Occupy Oakland Chaos,Copy(300),300
TRAIN_1040,"(Apr 23, 2011 7:08 AM CDT) The death toll from two days of violence in Syria reached 120 today as security forces fired on tens of thousands of mourners who shouted for the regime's downfall during funeral processions, a human rights group said. Ammar Qurabi, the head of Syria's National Organization for Human Rights, said 112 people were killed yesterday and at least eight today. The mounting death toll prompted two Syrian lawmakers to resign in disgust over the killings. More than 300 people have been killed since the uprising against autocratic President Bashar al-Assad began more than five weeks ago. If I cannot protect the chests of my people from these treacherous strikes, then there is no meaning for me to stay in the People's Assembly, one of the lawmakers told al-Jazeera. Click for more on the Syrian protests.",Syria's Two-Day Death Toll Rises to ____,Copy(120),120
TRAIN_1041,"(Jul 19, 2015 2:45 PM CDT) Abraham Lincoln helped free a black male slave long before the Civil War, and researchers say they've found the man's graveâ€”in a former psychiatric hospital's cemetery, the AP reports. A budding lawyer, Lincoln won a case before the Illinois Supreme Court in 1841 that released Nance Legins-Costley from indentured servitude, which historians say amounted to slavery for a black woman. Legins-Costley walked away with her 10-month-old son, William Henry Costley, and lived to a ripe old age in her central Illinois hometown of Pekin. But what became of the first black male slave freed by Lincoln? An amateur historian named Carl Adams spent years investigating the story and published a book about Legins-Costley last year, Nance: Trials of the First Slave Freed by Abraham Lincolnâ€”A True Story of Nance Legins-Costley. The editor of a history journal says Nance tells the only story of Lincoln that is really new, according to a site dedicated to the book. Costley apparently enlisted in a colored-troops regiment from Illinois in 1864, was wounded in the war, and found himself dispatched in Galveston, Texas. A few years later, an all-white jury found him not guilty in the shooting death of a man considered disreputable; Costley said he was protecting a woman when he pulled the trigger. Eventually, Costley moved to Minnesota, became an invalid, and lived in a psychiatric hospital in Rochester. There, Adams says, lies a grave that matches a number from hospital records as Costley's. It also recently received a Costley headstone. I think it is so likely that it's nearly a sure thing, says a Lincoln expert. (Read about a black slave whose story was rewritten, 150 years later.)",Experts Track ____st Black Male Slave Freed by Lincoln,Trans(first),1
TRAIN_1042,"(Apr 6, 2010 9:37 PM CDT) The University of Connecticut women's basketball team rallied tonight after a horrible first half to beat Stanford, 53-47, for its second consecutive undefeated championship season. The Huskies finished this season 39-0 and have won 78 games in a row. Coach Geno Auriemma's squad is now in position to challenge the UCLA men's team's record of 88 wins in a row. Held to only five points through the first 12 minutes and trailing 20-12 at the break, Auriemma's Huskies bounced back and played like champs to claim their seventh national title. All of the Huskies' previous wins in the streak were by double digits.",UConn's ____th Straight Yields Another Title,Copy(78),78
TRAIN_1043,"(Mar 12, 2015 11:11 AM CDT) It may have been more than a century after Columbus sailed the ocean blue, but some scientists are arguing that 1610 marks a golden spike in the geologic record that kickstarted what is being called the Anthropocene era, or Age of Man, and that this spike is the direct result of Europeans' arrival in the Americas. It's the latest effort by geologists to pinpoint exactly when our current historical era began. We're still officially in the Holocene Epoch, reports the BBC, which started nearly 12,000 years ago at the end of the last Ice Age, but the Anthropocene has been proposed as a new era humans set in motion far more recently. Some say this era began as recently as 1964, the point at which the first nuclear tests were banned. Others date it back a century further to the Industrial Revolution. But in the journal Nature, a new proposal suggests that 1610 is the precise start date thanks to the major global impact of the European population on the Americasâ€”from farming and trade to the spread of disease that resulted in the deaths of more than 50 million people, many of whom were farmers. When that farmland returned to its original vegetation, that growth removed enough carbon from the atmosphere to see a pronounced dip in the global atmospheric carbon dioxide concentration that can be seen in ice core records, one scientist said. The Anthropocene Working Group is weighing the evidence and says it will suggest its preferred Anthropocene start date sometime next year. (Scientists have been debating this start date for years.)",Scientists Argue That 'Age of Man' Began in ____,Copy(1610),1610
TRAIN_1044,"(Mar 5, 2014 7:00 AM) A crack team of scientists is coming together with an ambitious goal: Battle aging. Craig Venter, the geneticist who created synthetic life, is pairing up with stem cell leader Dr. Robert Hariri and Dr. Peter Diamandis, founder of the X Prize Foundation; their Human Longevity Inc. has set its initial sights on cancer, but also intends to initially focus on the likes of diabetes, dementia, heart disease, and liver disease in an effort to keep adults healthy as they get olderâ€”for as long as possible. Our goal is to make 100 years old the new 60, says Diamandis, according to Businessweek. Adds Venter, according to the New York Times, Your age is your No. 1 risk factor for almost every disease, but itâ€™s not a disease itself. At the root of the new venture will be what Venter touts as the world's biggest human DNA sequencing operation; the group has already bought two uber-high-tech HiSeq X Ten gene sequencing systems from Illumina, which has provided a healthy share of Human Longevity's $70 million in funding. The systems will allow the group to sequence 40,000 human genomes a year, from the young and healthy to the old and ill, Reuters reports. Ultimately, the company hopes to sequence 100,000 human genomes per year. Combined with information on each person (medical records, genetic data from their microbes, the chemicals in their bloodstream), they hope to gain a better understanding of how to prevent disease, and in turn lower the cost of medication by offering people potentially more effective medication designed for their genetic profile, USA Today reports. (Click to read about a billionaire who says he's reversed the aging process.)",Crack Team of Scientists' Goal: 'Make 100 the New ____',Copy(60),60
TRAIN_1045,"(Nov 18, 2012 7:57 AM) Two police helicopters collided in the Los Angeles area yesterday, leaving five officers and a civilian with minor injuries. Investigators believe the crash occurred when the rotator blades touched of a chopper that was landing and one that was taking off. The collision caused extensive damage to both aircraft, crumpling the tail and breaking the blades of one and causing the blade to fall off and other damages to the other. The injured included a pilot and an observer in each of the Bell OH-58A helicopters and two officers on the ground. The FAA and the National Transportation Safety Board were investigating.","Police Copters Collide, ____ Hurt","Add(Trans(five), 1)",6
TRAIN_1046,"(Jan 15, 2014 9:18 AM) Oscar nominations are out tomorrow, which means the much-more-amusing Golden Raspberry Award nominations are out today. Grown Ups 2 got the most Razzie nominations this year, with eight nods including Worst Picture, Us reports. It was followed by After Earth, A Madea Christmas, and Movie 43, all of which got six nominations each including Worst Picture. The last Worst Picture nominee: The Lone Ranger. As for bad acting, Adam Sandler was nominated for Worst Actor for Grown Ups 2; Naomi Watts and Ashton Kutcher were honored for their roles as Princess Diana and Steve Jobs, respectively; and both Will and Jaden Smith earned nods for After Earth, the National Post reports. The awards will be handed out the day before the Oscars, March 1.","Grown Ups ____, After Earth Lead Razzie Noms",Copy(2),2
TRAIN_1047,"(Jun 8, 2011 1:39 AM CDT) The balance sheet of Atlantic City's Tropicana Casino has taken a pounding from a pair of high rollers who won more than $5 million each just 6 weeks apart. A blackjack player beat the casino for $5.8 million in April and a craps player won $5.3 million last week, leaving a $150,000 tip that was shared among dealers on duty that night, AP reports. Officials for the casino, bought out of bankruptcy last year by billionaire investor Carl Icahn, say they're sticking with their new emphasis on high-stakes table games play, despite the huge losses. Mr. Icahn and his company understand that with this strategy, there is a little bit of volatility, Tropicana president Tony Rodio tells the Press of Atlantic City. Sometimes youâ€™re the bug, and sometimes youâ€™re the windshield. Both of the big winners have been invited back to the casino. If someone wants to take the shot, we'll take the action, Rodio says.",Two Gamblers Take NJ Casino for $____M,"Round(Add(5.8,5.3),0)",11
TRAIN_1048,"(Apr 9, 2012 8:20 AM CDT) An argument over a blocked service elevator turned violent yesterday, ending in a shootout in a Brooklyn apartment during which four police officers were injured. Suspect Nakwon Foxworth, 33, who was with his pregnant girlfriend Jessica Hickling and their 4-month-old son, became angry at movers who were blocking the entrance with a barrel late Saturday night, the New York Daily News reports. He took the stroller, with the baby in it, and started ramming it into the barrel, one of the movers says, adding that Foxworth then pulled a gunâ€”which he ultimately threw into the child's stroller. Foxworthâ€”an ex-con who twice served time for attempted murderâ€”took Hickling and the baby and went into their apartment, while the movers called police. As police were preparing for a standoff, Hickling managed to escape the apartment with her son around 12:30am. Foxworth quickly started shooting through the open door, just 10 feet away from police; officers later found a cache of illegal guns and ammo in his apartment. Foxworth was ultimately shot in the stomach and is in critical but stable condition; all of the injured officers (three shot in the leg and one in the face) are in good condition. One officer, Detective Kenneth Ayala, is being hailed as a hero for managing to hold onto the police shield and protect his fellow officers even after taking two bullets, the New York Post reports.",____ NYPD Officers Shot After Argument Over Elevator,Copy(4),4
TRAIN_1049,"(May 18, 2020 4:32 AM CDT) Less than a minute of footage allegedly showing two teen Pakistani girls in a secluded area with a young man was posted online. Now those two girls are dead. Male relatives allegedly shot the girls, ages 16 and 18, this week in a so-called honor killing, the Guardian reports. The father of one girl and the brother of the other have been arrested, and two other family members are being sought. Police are also looking for a third young woman shown in the footage to make sure she is safe. The young man involved is believed to have recorded himself with the three females and posted the video to social media recently, even though it was shot nearly a year ago, the BBC reports. A life sentence is now mandated in Pakistan for anyone convicted of an honor killing.",Less Than a Minute of Footage Was Posted. ____ Girls Died,Trans(two),2
TRAIN_1050,"(Mar 8, 2011 4:42 PM) If the body count is any indication, coalition forces are making progress in Afghanistan: US-led military forces have captured or killed more than 900 Taliban leaders over the past 10 months, say military leaders. Special forces stepped up operations to decapitate the insurgent force by focusing on leadership as part of an overall shift in strategy over the last few years, USA Today reports. We are getting indications that the insurgency is struggling to find replacements for leaders, says one military official. In several cases, insurgents have actually refused to take over the leadership positions, have had difficulty finding technical experts, such as IED (improvised explosive devices) facilitators, gun runners and bomb trainers.","US Raids Have Captured, Killed ____ Taliban Leaders",Copy(900),900
TRAIN_1051,"(May 26, 2010 3:46 PM CDT) Art Linkletter, whose People Are Funny and House Party shows entertained millions of TV viewers in the 1950s and '60s and who remained active as a writer and speaker through his ninth decade, died today at age 97. Linkletter was known on TV for his funny interviews with children and ordinary folks. He also collected their comments in a number of best-selling books. Art Linkletter's House Party, one of television's longest-running variety shows, debuted on radio in 1944 and was seen on CBS-TV from 1952 to 1969. Though it had many features, the best known was the daily interviews with schoolchildren. Linkletter collected quotes from children into Kids Say The Darndest Things, and it sold in the millions.",Art Linkletter Dead at ____,Copy(97),97
TRAIN_1052,"(Apr 13, 2012 12:02 AM CDT) An 80-year-old nun has been busted in Spain for her role in a massive Catholic church-linked baby-theft ring, according to investigators. The ring took babies from hundreds of poor or unwed mothers dating back to the 1980s and sold them into adoption, say officials. Sister Maria Gomez Valbuena, the first person to be arrested in the operation, has been charged with snatching a newborn from a young mom in Madrid in 1982. When the mother demanded to know where her baby was, the nun told me: â€˜Stop asking me that or else I will also take away your other daughter and you will go to jail for adultery,' said the mom, who has been reunited with her 29-year-old daughter. Valbuena appeared before a judge yesterday and refused to testify, reports the New York Daily News. Police have received hundred of complaints of baby snatchings, which have been widely investigated by the media. Catholic priests and nuns served as middlemen in the operations that also involved doctors, nurses, lawyers, and scores of clinics and hospitals, according to police investigators. In one case, a Madrid hospital kept a dead newborn in a freezer to show moms to prove their babies had died. The nuns and priests justified what they did by saying that the child was better off with the adoptive family, but they still took the money, a lawyer for the targeted families told the Daily Beast.","Nun, ____, Charged in Church-Linked Baby-Snatch Ring",Copy(80),80
TRAIN_1053,"(Sep 9, 2008 2:52 PM CDT) The store where nothing costs more than 99Â¢ has become the store where nothing costs more than 99.99Â¢, reports the LA Times. The top price at 99 Cents Only will go up by 99/100 of a penny this month, say executives at the discount chain, who blame inflationary pressures. The move is expected to earn the chain an extra $12 million. The chain said last month it was being forced to rethink its pricing strategy after losing money in two consecutive quarters. 99 Cents Only has never sold an item for over a dollar in its 26-year history, but it had been increasingly forced to limit what it sold to keep prices down. The chain has no plans to change the name of its 277 stores, most of which are in Southern California.","99 Cents Only Hikes Prices, But Only by ____ Cent","Subtract(99.99,99)",0.99
TRAIN_1054,"(Mar 14, 2014 11:59 AM CDT) The five-second rule: old wives' tale or science? According to a professor of microbiology at Birmingham, England's Aston University, the answer is ... it depends on whether you're in your bedroom or kitchen. Anthony Hilton and his biology students looked at two types of bacteria (E. coli and Staphylococcus aureus) on three flooring options: carpet, laminate, tile. Toast, pasta, a cookie, and a sticky sweet were dropped on the various surfaces and rested there for 3 to 30 seconds. When it came to the transfer of bacteria, both time and flooring type played a role. Bacteria were least likely to hop aboard the fallen bite if carpet was involved; when moist foods hit laminate and tiled surfaces, bacteria was more likely to transfer when contact was made for more than 5 seconds. The upshot, per Hilton: We have found evidence that transfer from indoor flooring surfaces is incredibly poor. That's likely welcome news to the 87% of people the students surveyed who reported a willingness to adhere to the five-second rule. Writing for Forbes, Alice Walton notes that the findings should be taken with a grain of saltâ€”preferably one not dropped on the floor. She points out that the study doesn't seem to have been peer-reviewed or accepted for publication anywhere. (A previous report on the topic noted that food dropped on the sidewalk was likely safer to eat than that on the kitchen floor.)",There's Some Science Behind the ____-Second Rule,Copy(5),5
TRAIN_1055,"(Apr 11, 2008 8:28 AM CDT) Biotech firm Genentech said sales of its blockbuster cancer drug Avastin fueled a first-quarter profit increase of 12%, reports the Wall Street Journal, but the $600 million in sales was below analystsâ€™ projected $622 million, causing some to grumble the drug may have reached a sales plateau. Genentech stock edged up 0.3% in after-hours trading. Sales for the drug were up 13% from a year ago, but dropped from last quarter when it sold $603 million. Avastin is used in the treatment of lung and colorectal cancers; in February was approved for use in the treatment of breast cancer as well. Genentech said sales of its other major product, Rituxan, rose 13% from a year ago to $605 million.",Cancer Drug Sales Push Genentech Profits Up ____%,Copy(12),12
TRAIN_1056,"(Apr 12, 2014 9:28 AM CDT) The cat came backâ€”after seven years. The unexpected reunion took place in Iceland, when Birkir Fjalar Vioarsson got a call from a shelter informing him that his cat Orvar had shown up, reports the Reykjavik Grapevine. Orvar bolted in 2007, apparently displeased about the family's addition of a puppy, but all seems forgiven now, notes the Iceland Review. I called him a little and he came running to me, climbed up on my shoulders and wrapped himself around me like weâ€™d never been apart, says Vioarsson. Orvar, who had a microchip that helped the shelter find his owner, is in fine health for his 16 years. Iâ€™m so happy to be able to take part in this final chapter of his life, says Vioarsson, who hopes to find and thank the person who cared for Orvar all these years. We have been reunited and for that Iâ€™ll always be grateful.",Missing Cat Back Home After ____ Years,Trans(seven),7
TRAIN_1057,"(May 23, 2016 7:15 AM CDT) A cold case in Maine about a teen who vanished nearly 40 years ago is getting a fresh look from police after his parents received an anonymous letter out of the blue. Police are saying very little about the letter's contents, but they hope the author will reach out again and perhaps end the mystery of what happened to Bernard Bunny Ross, reports the Bangor Daily News. Police say Ross, then 18, vanished on May 12, 1977, after taking the family car to his aunt's house in Presque Isle, then stealing another car near her home. It was found about 20 miles away, and Ross has been a missing person since. His parentsâ€”Bernard Sr., 80, and Carol, 78â€”say he'd been going through ups and downs at the time, but nothing out of the ordinary. The unsigned letter arrived after a local newspaper story about missing persons a few months ago mentioned their son, reports the Portland Press Herald. The letter writer claimed to have information about the disappearance, but police aren't divulging details. Iâ€™ve never had anything like this happen in my career, says Maine State Police Lt. Troy Gardner. Basically, all weâ€™re doing is extending an olive branch, saying we want to make contact with this person. Gardner adds that police can't even be sure at this point that the letter isn't a hoax. The Rosses are going public in the hope that the letter writer, who suggested that another newspaper story be written, is legit. It's been the lack of resolution that's been so hard to deal with all these years, says Carol Ross. Itâ€™s not like there was a death. It was the unknown, she says. There was always the hope that heâ€™d walk through the door one day. (A diligent mom helped crack a 10-year-old cold case about her daughter's killing.)",Parents Get Letter About Missing Son ____ Years Later,"Subtract(40,1)",39
TRAIN_1058,"(Nov 6, 2014 4:26 PM) It's a rarity for advocates of gay marriage: defeat. A federal appeals court today upheld bans on same-sex marriage in Michigan, Ohio, Kentucky, and Tennessee, reports the Columbus Dispatch. The ruling by the 6th US Circuit Court of Appeals goes against decisions to allow gay marriage in four other federal courts and thus virtually guarantees Supreme Court review, reports USA Today. The judge who wrote the decision suggested that it's too early in the debate over gay marriage for courts to be stepping in: When the courts do not let the people resolve new social issues like this one, they perpetuate the idea that the heroes in these change events are judges and lawyers, wrote GOP-appointed Jeffrey Sutton. Better in this instance, we think, to allow change through the customary political processes, in which the people, gay and straight alike, become the heroes of their own stories by meeting each other not as adversaries in a court system but as fellow citizens seeking to resolve a new social issue in a fair-minded way.",Court Blocks Gay Marriage in ____ States,Copy(4),4
TRAIN_1059,"(May 5, 2016 7:31 AM CDT) Jeb Bush chose not to endorse Donald Trump. His father and brother are now following suit. In statements to the Guardian, George HW Bush and George W Bush each say they're staying out of the 2016 election, which means they won't endorse Trump, though he's now the presumptive GOP nominee. A rep for the elder Bush says he is retired from politics and only came out of retirement to do a few things for Jeb. But this year will mark the first time in five election cycles that he hasn't endorsed the Republican nominee, reports the Texas Tribune. The younger Bush likewise supported Mitt Romney in 2012 and John McCain in 2008. His rep says he does not plan to participate in or comment on the presidential campaign. It's possible the Bushes are still peeved about Trump calling Jeb Bush an embarrassment to his family, and George W Bush's invasion of Iraq a mistake. Several other GOP figures, including Sens. Dean Heller of Nevada and Ben Sasse of Nebraska, say they won't vote for Trump. Sens. Kelly Ayotte of New Hampshire and Rob Portman of Ohio say they'll vote for him, but not endorse him.",The Last ____ GOP Presidents Won't Endorse Trump,"Add(Span(George HW Bush),Span(George W Bush))",2
TRAIN_1060,"(Apr 16, 2013 5:08 PM CDT) Bite into beef anywhere in Europe, and there's a 5% chance you're actually biting into horse meat. An EU study across 27 nations in the wake of the region's horse meat scandal found that 5% of beef products had some horse DNA, reports the BBC. France and Greece were the worst offenders. Of those horse-meat samples, about 0.5% were positive for a banned animal painkiller known as phenylbutazone, reports the Wall Street Journal. Bute is considered a health risk for humans. EU officials promised to put into place tougher rules and penaltiesâ€”including prison timeâ€”on food labeling. But all in all, they said the study showed that people were deceived but not endangered. Today's findings have confirmed that this is a matter of food fraud and not of food safety, says the EU health commissioner.",Horse Meat Found in ____% of Beef in Europe,Copy(5),5
TRAIN_1061,"(Feb 7, 2009 4:59 AM) Michael Phelps believes a 3-month suspension from USA Swimming is a fair enough price to pay for getting caught toking up, the AP reports. Obviously, for a mistake you should get punished, said the acclaimed Olympic gold medalist. Phelps says he has been spending a lot of time in the pool, training for who knows what yet. USA Swimming said the punishment was made in collaboration with Phelps, and is not meant to serve as a precedent for other swimmers. The champ's coach said the ruling was not unexpected, but he will have to change his plans around as Phelps will now have just two months of competitive swimming to prepare for July's world championships in Rome.",Phelps: ____-Month Suspension Is Fair Punishment,Copy(3),3
TRAIN_1062,"(Nov 19, 2008 9:43 AM) Californiaâ€™s moderately conservative Supreme Court faces pressure from both fronts of the gay-marriage battle, the Los Angeles Times reports. Opponents of Proposition 8â€”including Gov. Arnold Schwarzeneggerâ€”are collecting arguments for why the amendment should be struck down, while supporters have promised to oust judges who rule the other way. Justices are supposed to ignore such threats, but that may prove difficult. Legal scholars note a dearth of precedent for overturning the amendment, but a group of law professors has called Proposition 8 an illegal revision to the stateâ€™s constitution. Itâ€™s really a long shot, a Yes on 8 lawyer said. Case after case has challenged what voters have done and the court time after time has upheld the peopleâ€™s power.",Prop ____ Furor Squeezes Calif. Court,Copy(8),8
TRAIN_1063,"(Feb 8, 2009 7:33 PM) Criminal defendants who skipped court dates in Philadelphia owe the city a total of $1 billion, the Philadelphia Inquirer reports. For decades, the city has done little to try to collect full bail payments from those who donâ€™t show. Critics say the system is farcical. Bail judgments just arenâ€™t paid off unless something miraculous happens, said a court administrator. Adds another: It's a nasty process to collect. New York and other cities expect 100% up front, prompting many defendants to go through private bail firms. In Philadelphia, courts do little to ensure people's ability to pay, critics say, and city lawyers don't go after the money. Prompted by the Inquirer, Philly has hired a collection agency to pursue the moneyâ€”as the mayor pushes for a $1 billion cut in the cityâ€™s 5-year spending plan.",30 Years of Bail Jumpers Owe Philly $____B,Copy(1),1
TRAIN_1064,"(Nov 11, 2010 1:30 PM) Donata Forman really loves her dog. So when her condo board told her little Charlieâ€”a four-pound Yorkshire terrierâ€” had to go, I said, Iâ€™m going all the way with the case, Forman tells the New York Daily News. I need him because heâ€™s part of the family. Forman took the condo board to court, and dragged them through a costly legal battleâ€”which she won this week. So rejoice, pooch lovers, because an appeals court ruled that a pet ban can only be instituted if it is written into the condoâ€™s bylaws and approved by 80% of the owners who live there. The condo board is probably pretty chagrined; Forman at one point offered to settle, but they turned her down. They told a judge that theyâ€™d spent $100,000 already, so they canâ€™t settle, says Formanâ€™s lawyer.",Condo Spends $____K Trying to Evict Dog ... and Loses,"Paraphrase(100,000,K)",100
TRAIN_1065,"(Mar 7, 2012 1:19 PM) The separated parents of a 3-year-old Maryland girl forgot something when they left a recent party at Chuck E. Cheese â€¦ their little girl. Both the mother and father of 3-year-old Harmony assumed the girl had left the large party with other relatives, ABC News reports. Neither one realized she was missing â€¦ until they saw her on the 11pm news. A restaurant manager had called authorities three hours earlier when staff found the girl alone, but deputies were unable to reach her parents. No charges are expected.","Parents Forget Girl, ____, at Chuck E. Cheese",Copy(3),3
TRAIN_1066,"(Jan 13, 2010 5:29 AM) The number of Afghan civilians who died in war-related violence last year soared to the highest annual level since the conflict began in 2001, with nearly 70% blamed on insurgents, according the the UN, and 25% to allied forces. The UN mission in Afghanistan said 2,412 civilians were killed in 2000â€”a 14% increase over 2008. The deaths caused by allied forces show a 28% drop over the previous year. Almost half of the civilian casualties occurred in southern Afghanistan, which has seen intense fighting as US and allied troops seek to oust the Taliban and other insurgents. US and NATO commander Stanley McChrystal has ordered troops to use airstrikes judiciously and take other measures to reduce civilian casualties following widespread public outrage over civilian deaths.",____% of Afghan Civilian Deaths Caused by Taliban,Copy(70),70
TRAIN_1067,"(Aug 20, 2015 8:16 AM CDT) The kidnapped daughter of a wealthy German businessman was found dead earlier this weekâ€”a horrific end to a case that has stunned Germany and left her parents in the care of police psychologists, reports the Mirror. Authorities say the 17-year-old, identified as Anneli-Marie R., was kidnapped while walking her dog near Meissen around 7:30pm last Thursday. About half an hour later, her father received a phone call from Anneli-Marie's phone: It was one of her captors demanding $1.3 million in ransom. Investigators say the last sounds he heard from his daughter were reportedly her screams on the line. Though the girl's family told the kidnappers in a letter that they would fulfill your demands in order to be able to take our child in our arms again, her body was found on a farm Monday, hours after the arrests of two men, 39 and 61, reports NBC News. Policeâ€”some 1,200 of them were involved in the caseâ€”say they found the suspects by tracking cell phones, reports NBC News. Authorities say the men, unmasked during the crime, probably killed Anneli-Marie on Friday so she wouldn't expose them to police; they found no evidence of sexual assault. Friday was the last day a kidnapper and the teen's father spoke; NBC News notes the family wanted to pay the ransom but couldn't wire it to a foreign bank as instructed in the specified time frame. Officials suspect there was a good deal of planning before the crime. Based on the investigation so far, the younger suspect was supposedly taking walks with a dog in the area to find out at what times the girl was out and about, says a rep for the Dresden prosecutors' office. Investigators believe the captors also researched her on Facebook. (Cops are stumped by the case of a missing Connecticut couple.)","____-Year-Old's Kidnapping, Murder Stuns Germany",Copy(17),17
TRAIN_1068,"(Jan 4, 2010 12:02 PM) The Census Bureau today launched a $340 million campaign to publicize this yearâ€™s survey, beginning with the rollout of the Census Portrait of America Road Tour, a flotilla of 13 vehicles that will travel across the nation to public events and tout the benefits of being counted. Also in store is $140 million worth of advertising, including two Super Bowl spots. Some $80 million will target historically undercounted minorities and non-English speakers, USA Today reports.",US Spends $____M to Urge People to Get Counted,Copy(340),340
TRAIN_1069,"(Aug 23, 2012 1:17 PM CDT) Microsoft has used the same logo since 1987, but finally unveiled a new one today at the opening of a Boston Microsoft store. The company is launching new or considerably updated versions of almost all its products, so we felt it was a good time to express the newness in the Microsoft logo as well, says Microsoft's general manager of brand strategy. The products will look cleaner and will feature colorful tile designs, the Seattle Times reports, and the new logo similarly features cleaner, lighter text and the multicolored Windows-like tile symbol. Check out both the old and the new logo in the gallery, or the Times has all five of Microsoft's logos on display.","For First Time in ____ Years, Microsoft Updates Logo","Subtract(2012,1987)",25
